Crystal,Peak,Source,Peak_Error,Source_Error,,,,,,,,,,
12,1438.6,1408.018,0.021,0.003,,,12,1438.6,1408.018,1.4386,0.2816036,,,
13,116.7,121.782,0.011,0.0003,,,13,116.7,121.782,0.1167,0.0243564,,,
13,234.47,244.697,0.04,0.0008,,,13,234.47,244.697,0.23447,0.0489394,,,
13,329.89,344.279,0.01,0.0012,,,13,329.89,344.279,0.32989,0.0688558,,,
13,751.2,778.9045,0.02,0.0024,,,13,751.2,778.9045,0.7512,0.1557809,,,
13,1356.77,1408.018,0.017,0.003,,,13,1356.77,1408.018,1.35677,0.2816036,,,
14,117.11,121.782,0.005,0.0003,,,14,117.11,121.782,0.11711,0.0243564,,,
14,235.49,244.697,0.04,0.0008,,,14,235.49,244.697,0.23549,0.0489394,,,
14,333.06,344.279,0.03,0.0012,,,14,333.06,344.279,0.33306,0.0688558,,,
14,752.08,778.9045,0.024,0.0024,,,14,752.08,778.9045,0.75208,0.1557809,,,
14,1360.12,1408.018,0.02,0.003,,,14,1360.12,1408.018,1.36012,0.2816036,,,
15,119.38,121.782,0.0086,0.0003,,,15,119.38,121.782,0.11938,0.0243564,,,
15,239.61,244.697,0.011,0.0008,,,15,239.61,244.697,0.23961,0.0489394,,,
15,337.54,344.279,0.006,0.0012,,,15,337.54,344.279,0.33754,0.0688558,,,
15,764.49,778.9045,0.0023,0.0024,,,15,764.49,778.9045,0.76449,0.1557809,,,
15,1383.17,1408.018,0.02,0.003,,,15,1383.17,1408.018,1.38317,0.2816036,,,
16,118.88,121.782,0.005,0.0003,,,16,118.88,121.782,0.11888,0.0243564,,,
16,239.05,244.697,0.016,0.0008,,,16,239.05,244.697,0.23905,0.0489394,,,
16,336.18,344.279,0.01,0.0012,,,16,336.18,344.279,0.33618,0.0688558,,,
16,764.58,778.9045,0.02,0.0024,,,16,764.58,778.9045,0.76458,0.1557809,,,
16,1382.76,1408.018,0.02,0.003,,,16,1382.76,1408.018,1.38276,0.2816036,,,
17,123.28,121.782,0.007,0.0003,,,17,123.28,121.782,0.12328,0.0243564,,,
17,247.207,244.697,0.015,0.0008,,,17,247.207,244.697,0.247207,0.0489394,,,
17,347.67,344.279,0.017,0.0012,,,17,347.67,344.279,0.34767,0.0688558,,,
17,786.37,778.9045,0.03,0.0024,,,17,786.37,778.9045,0.78637,0.1557809,,,
17,1422.35,1408.018,0.02,0.003,,,17,1422.35,1408.018,1.42235,0.2816036,,,
18,127.444,121.782,0.008,0.0003,,,18,127.444,121.782,0.127444,0.0243564,,,
18,258.64,244.697,0.034,0.0008,,,18,258.64,244.697,0.25864,0.0489394,,,
18,362.72,344.279,0.016,0.0012,,,18,362.72,344.279,0.36272,0.0688558,,,
18,816.14,778.9045,0.03,0.0024,,,18,816.14,778.9045,0.81614,0.1557809,,,
18,1475.35,1408.018,0.023,0.003,,,18,1475.35,1408.018,1.47535,0.2816036,,,
19,127.223,121.782,0.005,0.0003,,,19,127.223,121.782,0.127223,0.0243564,,,
19,256.333,244.697,0.038,0.0008,,,19,256.333,244.697,0.256333,0.0489394,,,
19,360.42,344.279,0.01,0.0012,,,19,360.42,344.279,0.36042,0.0688558,,,
19,818.115,778.9045,0.024,0.0024,,,19,818.115,778.9045,0.818115,0.1557809,,,
19,1478.58,1408.018,0.023,0.003,,,19,1478.58,1408.018,1.47858,0.2816036,,,
20,135.75,121.782,0.014,0.0003,,,20,135.75,121.782,0.13575,0.0243564,,,
20,271.99,244.697,0.039,0.0008,,,20,271.99,244.697,0.27199,0.0489394,,,
20,382.735,344.279,0.0068,0.0012,,,20,382.735,344.279,0.382735,0.0688558,,,
20,868.23,778.9045,0.026,0.0024,,,20,868.23,778.9045,0.86823,0.1557809,,,
20,1570.13,1408.018,0.022,0.003,,,20,1570.13,1408.018,1.57013,0.2816036,,,
24,129.93,121.782,0.014,0.0003,,,24,129.93,121.782,0.12993,0.0243564,,,
24,260.04,244.697,0.01,0.0008,,,24,260.04,244.697,0.26004,0.0489394,,,
