0	0	0.991248
0	1	1.00238
0	2	0.982707
0	3	0.995129
1	0	0.995844
1	1	1.00218
1	2	0.990261
1	3	0.988197
2	0	0.988057
2	1	0.997074
2	2	0.986259
2	3	0.0705181
3	0	0.995781
3	1	1.00206
3	2	0.986032
3	3	0.990894
4	0	0.994766
4	1	0.998504
4	2	0.984024
4	3	0.994354
6	0	0.996924
6	1	0.999793
6	2	0.997643
6	3	1.009
7	0	0.990749
7	1	0.999734
7	2	0.968286
7	3	0.986793
8	0	0.988989
8	1	1.00445
8	2	0.97781
8	3	0.984328
9	0	0.993478
9	1	1.00224
9	2	0.976088
9	3	0.986427
10	0	0.995525
10	1	1.00156
10	2	0.989973
10	3	0.990837
11	0	0.993188
11	1	1.00297
11	2	0.982373
11	3	0.99643
