0	0	-0.54	0.62	1.16
0	1	-0.6	0.59	1.19
0	2	-0.61	0.55	1.16
0	3	-0.59	0.57	1.16
1	0	-0.59	0.58	1.17
1	1	-0.59	0.58	1.17
1	2	-0.61	0.55	1.16
1	3	-0.56	0.6	1.16
2	0	-0.59	0.59	1.18
2	1	-0.59	0.68	1.27
2	2	-0.57	0.6	1.17
2	3	0.01	0.08	0.07
3	0	-0.61	0.56	1.17
3	1	-0.6	0.59	1.19
3	2	-0.61	0.58	1.19
3	3	-0.61	0.57	1.18
4	0	-0.62	0.46	1.08
4	1	-0.63	0.59	1.22
4	2	-0.61	0.59	1.2
4	3	-0.62	0.6	1.22
6	0	-0.62	0.56	1.18
6	1	-0.59	0.53	1.12
6	2	-0.56	0.52	1.08
6	3	-0.61	0.47	1.08
7	0	-0.58	0.59	1.17
7	1	-0.57	0.76	1.33
7	2	-0.59	0.7	1.29
7	3	-0.59	0.6	1.19
8	0	-0.57	0.6	1.17
8	1	-0.59	0.58	1.17
8	2	-0.6	0.57	1.17
8	3	-0.57	0.61	1.18
9	0	-0.63	0.54	1.17
9	1	-0.61	0.57	1.18
9	2	-0.56	0.64	1.2
9	3	-0.61	0.6	1.21
10	0	-0.52	0.63	1.15
10	1	-0.52	0.64	1.16
10	2	-0.53	0.65	1.18
10	3	-0.52	0.64	1.16
11	0	-0.62	0.56	1.18
11	1	-0.61	0.56	1.17
11	2	-0.57	0.6	1.17
11	3	-0.63	0.55	1.18
0	0	-0.55	0.62	1.17
0	1	-0.55	0.63	1.18
0	2	-0.59	0.58	1.17
0	3	-0.57	0.6	1.17
1	0	-0.59	0.59	1.18
1	1	-0.56	0.61	1.17
1	2	-0.58	0.58	1.16
1	3	-0.58	0.59	1.17
2	0	-0.6	0.58	1.18
2	1	-0.57	0.6	1.17
2	2	-0.56	0.61	1.17
2	3	-0.59	0.57	1.16
3	0	-0.56	0.61	1.17
3	1	-0.59	0.59	1.18
3	2	-0.6	0.6	1.2
3	3	-0.6	0.59	1.19
4	0	-0.57	0.59	1.16
4	1	-0.59	0.57	1.16
4	2	-0.59	0.42	1.01
4	3	-0.56	0.18	0.74
5	0	-0.5	0.61	1.11
5	1	-0.58	0.59	1.17
5	2	-0.57	0.51	1.08
5	3	-0.58	0.65	1.23
6	0	-0.54	0.62	1.16
6	1	-0.56	0.61	1.17
6	2	-0.55	0.6	1.15
6	3	-0.59	0.57	1.16
7	0	-0.58	0.62	1.2
7	1	-0.58	0.6	1.18
7	2	-0.57	0.6	1.17
7	3	-0.58	0.6	1.18
8	0	-0.58	0.6	1.18
8	1	-0.6	0.57	1.17
8	2	-0.55	0.61	1.16
8	3	-0.6	0.58	1.18
9	0	-0.57	0.59	1.16
9	1	-0.57	0.58	1.15
9	2	-0.56	0.59	1.15
9	3	-0.56	0.6	1.16
10	0	-0.57	0.6	1.17
10	1	-0.6	0.59	1.19
10	2	-0.6	0.58	1.18
10	3	-0.54	0.63	1.17
