846.886	5.07E-02	0.0032	1.16E-03
1037.78	4.45E-02	0.015	9.76E-04
1175.11	4.35E-02	0.027	1.02E-03
1238.84	4.22E-02	0.02	9.05E-04
1360.79	4.02E-02	0.0029	9.49E-04
1771.78	3.66E-02	0.019	8.09E-04
2015.8	3.20E-02	0.043	8.46E-04
2035.37	3.20E-02	0.024	7.32E-04
2589.94	2.67E-02	0.017	5.86E-04
3010.77	2.56E-02	0.13	1.07E-03
3203.12	2.34E-02	0.052	5.88E-04
3254.44	2.26E-02	0.033	5.16E-04
3274.22	2.30E-02	0.07	6.73E-04
3452.2	2.18E-02	0.102	7.13E-04
3549.29	2.07E-02	0.32	1.61E-03
