121.646	0.218832563	0.0026	0.002077739
244.263	0.180501986	0.0027	0.001688633
343.945	0.155442927	0.0014	0.001667188
367.561	0.149883204	0.017	0.010547843
444.223	0.133046408	0.006	0.001279003
656.609	0.109285814	0.061	0.002126483
778.934	0.097746364	0.002	0.000966887
846.886	0.093225787	0.0032	0.002185854
963.903	0.088709766	0.002	0.001043107
1037.78	0.081813499	0.015	0.001836975
1111.91	0.079127701	0.0026	0.000617147
1173.26	0.078617512	0.0015	0.001101477
1175.11	0.07996036	0.027	0.001911488
1213.09	0.077603271	0.011	0.000807575
1238.84	0.077591134	0.02	0.001704968
1332.94	0.074026932	0.0015	0.00103716
1360.79	0.073898593	0.0029	0.001781338
1408.32	0.071796476	0.003	0.000553825
2015.8	0.058811119	0.043	0.001581202
2035.37	0.058874829	0.024	0.001375233
2589.94	0.049046326	0.017	0.001103377
3010.77	0.047032072	0.13	0.001987576
3203.12	0.042915675	0.052	0.001100587
3254.44	0.041431641	0.033	0.000968862
3274.22	0.042300175	0.07	0.001253491
3452.2	0.040107494	0.102	0.001323773
3549.29	0.038100135	0.32	0.002968707
