crys,source,location,source_error,location_error
39,778.904,777.5,0.1,0.5
39,964.057,1405.5,0.1,0.5
39,1408.02,1469,0.1,0.5
41,121.782,128.5,0.1,0.5
41,244.697,258.5,0.1,0.5
41,344.279,364.5,0.1,0.5
41,778.904,825.5,0.1,0.5
41,964.057,1358,0.1,0.5
41,1408.02,1491.5,0.1,0.5
42,121.782,126.5,0.1,0.5
42,244.697,255.5,0.1,0.5
42,344.279,358.5,0.1,0.5
42,778.904,813.5,0.1,0.5
42,964.057,1414,0.1,0.5
42,1408.02,1472.5,0.1,0.5
43,121.782,128.5,0.1,0.5
43,244.697,257.5,0.1,0.5
43,344.279,362.5,0.1,0.5
43,778.904,819.5,0.1,0.5
43,964.057,1352,0.1,0.5
43,1408.02,1480.5,0.1,0.5
44,121.782,129.5,0.1,0.5
44,244.697,260.5,0.1,0.5
44,344.279,365.5,0.1,0.5
44,778.904,1026.5,0.1,0.5
44,964.057,1442,0.1,0.5
44,1408.02,1500.5,0.1,0.5
45,121.782,124.5,0.1,0.5
45,244.697,250.5,0.1,0.5
45,344.279,352.5,0.1,0.5
45,778.904,802.5,0.1,0.5
45,964.057,1449.5,0.1,0.5
45,1408.02,1547,0.1,0.5
48,121.782,126.5,0.1,0.5
48,244.697,253.5,0.1,0.5
48,344.279,356.5,0.1,0.5
48,778.904,809.5,0.1,0.5
48,964.057,1463.5,0.1,0.5
48,1408.02,1470,0.1,0.5
