0	0	-0.57	0.62	1.19
0	1	-0.57	0.61	1.18
0	2	-0.6	0.57	1.17
0	3	-0.6	0.59	1.19
1	0	-0.61	0.65	1.26
1	1	-0.63	0.65	1.28
1	2	-0.59	0.64	1.23
1	3	-0.6	0.62	1.22
2	0	-0.61	0.6	1.21
2	1	-0.58	0.62	1.2
2	2	-0.14	0.7	0.84
2	3	-0.34	0.58	0.92
3	0	-0.53	0.64	1.17
3	1	-0.69	0.61	1.3
3	2	-0.66	0.61	1.27
3	3	-0.7	0.61	1.31
4	0	-0.58	0.61	1.19
4	1	-0.84	0.61	1.45
4	2	-0.59	0.6	1.19
4	3	-0.58	0.63	1.21
5	0	-0.59	0.65	1.24
5	1	-0.56	0.67	1.23
5	2	-0.6	0.63	1.23
5	3	-0.59	0.66	1.25
6	0	-0.56	0.64	1.2
6	1	-0.57	0.63	1.2
6	2	-0.54	0.63	1.17
6	3	-0.6	0.59	1.19
8	0	-0.42	0.62	1.04
8	1	-0.41	0.6	1.01
8	2	-0.25	0.62	0.87
8	3	-0.62	0.6	1.22
9	0	-0.59	0.61	1.2
9	1	-0.58	0.61	1.19
9	2	-0.57	0.64	1.21
9	3	-0.57	0.64	1.21
10	0	-0.59	0.61	1.2
10	1	-0.6	0.59	1.19
10	2	-0.61	0.57	1.18
10	3	-0.57	0.63	1.2
